Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_0603_1608Metric",78.740000,-49.530000,90.000000,top
"C2","0.1u","C_0603_1608Metric",81.280000,-49.530000,90.000000,top
"D1","LED_ERR","LED_D3.0mm",78.100000,-110.490000,0.000000,top
"D2","LED_RUN","LED_D3.0mm",86.355000,-110.490000,0.000000,top
"J1","Power","AMASS_XT30U-F_1x02_P5.0mm_Vertical",88.265000,-46.990000,-90.000000,top
"J2","GY-9250","PinSocket_1x10_P2.54mm_Vertical",78.740000,-61.625000,0.000000,top
"J3","HM-10","PinSocket_1x04_P2.54mm_Vertical",78.715000,-100.955000,180.000000,top
"J4","Left Motor","PinSocket_1x06_P2.54mm_Vertical",60.985000,-41.935000,0.000000,top
"J5","Right Motor","PinSocket_1x06_P2.54mm_Vertical",55.905000,-41.935000,0.000000,top
"R1","12k","R_0603_1608Metric",63.500000,-73.660000,90.000000,top
"R2","2.4k","R_0603_1608Metric",63.500000,-79.565000,90.000000,top
"R3","10k","R_0603_1608Metric",71.882000,-55.626000,180.000000,top
"R4","100","R_0603_1608Metric",66.040000,-106.045000,90.000000,top
"R5","100","R_0603_1608Metric",60.960000,-106.045000,90.000000,top
"U1","NUCLEO-L432KC","MODULE_NUCLEO-L432KC",63.500000,-86.360000,180.000000,top
"U2","DRV8847PWP","HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias",71.120000,-49.530000,0.000000,top
