Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22n,C_0603_1608Metric,81.026,-41.91,90.0,top
C2,100n,C_0603_1608Metric,81.026,-44.958,-90.0,top
C3,22n,C_0603_1608Metric,81.026,-54.356,90.0,top
C4,100n,C_0603_1608Metric,81.026,-57.404,-90.0,top
C5,10u,C_0603_1608Metric,83.82,-49.53,-90.0,top
C6,0.1u,C_0603_1608Metric,81.026,-49.53,-90.0,top
J1,Power,AMASS_XT30U-F_1x02_P5.0mm_Vertical,89.408,-49.276,-90.0,top
R1,12k,R_0603_1608Metric,63.5,-73.66,90.0,top
R2,2.4k,R_0603_1608Metric,63.5,-79.565,90.0,top
R4,100,R_0603_1608Metric,66.04,-106.045,90.0,top
R5,100,R_0603_1608Metric,60.96,-106.045,90.0,top
U2,DRV8874PWPR,SOP65P640X120-17N,72.644,-55.88,0.0,top
U3,DRV8874PWPR,SOP65P640X120-17N,72.644,-43.434,0.0,top
